,ら戳,Θユ鸭,Θユ髅B,}L基,程蔼基,程C基,ΜL基,害^基t,Θユ掸计,А基,基t
0,107/08/01,"29,777,161","7,375,488,342",247.0,248.0,246.5,248.0,2.0,"11,667",247.375,1.0
1,107/08/02,"22,775,110","5,611,725,541",249.0,249.5,243.5,244.5,-3.5,"10,343",246.625,-4.5
2,107/08/03,"25,165,097","6,205,758,662",246.0,248.0,245.0,247.0,2.5,"9,585",246.5,1.0
3,107/08/06,"22,364,568","5,487,396,854",245.0,247.0,244.0,245.5,-1.5,"9,732",245.375,0.5
4,107/08/07,"24,352,418","5,922,738,042",245.0,245.5,241.5,241.5,-4.0,"9,665",243.375,-3.5
5,107/08/08,"24,382,432","6,011,480,272",245.0,247.5,244.5,247.5,6.0,"10,247",246.125,2.5
6,107/08/09,"15,128,655","3,740,736,404",247.0,248.0,246.0,247.0,-0.5,"7,127",247.0,0.0
7,107/08/10,"16,125,492","3,961,311,040",246.5,247.0,244.5,245.0,-2.0,"6,558",245.75,-1.5
8,107/08/13,"17,881,194","4,302,280,285",241.5,243.0,239.0,240.5,-4.5,"9,875",241.0,-1.0
9,107/08/14,"17,488,913","4,262,753,253",245.0,245.0,242.5,243.5,3.0,"7,415",244.0,-1.5
10,107/08/15,"19,236,321","4,642,117,523",244.5,244.5,239.5,241.5,-2.0,"8,920",242.5,-3.0
11,107/08/16,"19,155,966","4,587,260,340",238.0,241.5,238.0,239.0,-2.5,"9,397",239.125,1.0
12,107/08/17,"19,634,474","4,707,354,383",239.5,241.0,239.0,239.5,0.5,"6,680",239.75,0.0
13,107/08/20,"17,014,437","4,068,729,103",239.5,240.0,238.0,239.5,0.0,"6,640",239.25,0.0
14,107/08/21,"13,871,127","3,328,215,657",239.0,241.0,238.5,241.0,1.5,"5,474",239.875,2.0
15,107/08/22,"12,679,240","3,063,201,922",241.5,242.5,240.5,242.0,1.0,"5,009",241.625,0.5
16,107/08/23,"17,216,240","4,200,671,070",243.0,244.5,243.0,244.5,2.5,"5,660",243.75,1.5
17,107/08/24,"15,446,943","3,772,959,070",245.5,246.0,243.0,243.5,-1.0,"5,099",244.5,-2.0
18,107/08/27,"15,579,299","3,825,736,755",246.0,246.5,244.5,245.0,1.5,"7,858",245.5,-1.0
19,107/08/28,"40,410,531","10,075,613,779",248.5,250.0,248.0,249.5,4.5,"16,881",249.0,1.0
20,107/08/29,"57,633,182","14,784,556,456",253.5,259.0,253.5,259.0,9.5,"25,668",256.25,5.5
21,107/08/30,"52,622,808","13,914,404,873",264.5,268.0,262.5,263.5,4.5,"22,862",264.625,-1.0
22,107/08/31,"70,000,506","17,920,548,387",257.5,259.0,254.0,256.0,-7.5,"19,019",256.625,-1.5
